temp,prec,invierno,otoño,primavera,verano,mp25
12.2,1.8,0,0,1,0,5
10.5,6.8,0,0,1,0,10
11.2,0.2,0,0,1,0,8
13.5,0.1,0,0,1,0,3
10.5,3.8,0,0,1,0,13
12.7,0,0,0,1,0,9
11.6,2.6,0,0,1,0,12
12.4,0,0,0,1,0,5
12.5,0,0,0,1,0,9
11.5,0,0,0,1,0,8
13.6,0,0,0,1,0,6
13.8,1.2,0,0,1,0,5
13.5,0.2,0,0,1,0,5
11.8,0.4,0,0,1,0,9
12,6,0,0,1,0,12
11.6,4.8,0,0,1,0,8
8.5,2.8,0,0,1,0,11
9.4,0,0,0,1,0,17
12.9,0,0,0,1,0,4
14,0,0,0,1,0,4
14.2,0,0,0,1,0,5
14.7,0,0,0,1,0,5
12,0.2,0,0,1,0,2
13.1,0,0,0,1,0,2
15.3,0,0,0,1,0,1
13.8,1,0,0,1,0,2
13.6,0,0,0,1,0,2
12.7,0,0,0,1,0,3
12,0,0,0,1,0,3
14,0,0,0,1,0,2
12.3,19.8,0,0,1,0,9
11,5,0,0,1,0,10
11.5,0,0,0,1,0,7
16.2,0,0,0,1,0,2
18.5,0,0,0,1,0,3
14.2,0,0,0,0,1,1
15.6,0,0,0,0,1,1
15.3,0,0,0,0,1,2
14.9,0,0,0,0,1,2
16.1,0,0,0,0,1,1
18.2,0,0,0,0,1,2
17.9,0,0,0,0,1,2
17.2,0,0,0,0,1,1
16.9,0,0,0,0,1,2
17.2,0,0,0,0,1,1
17.3,0,0,0,0,1,3
17.4,0,0,0,0,1,2
17.5,0,0,0,0,1,1
17.3,0,0,0,0,1,2
18.2,0,0,0,0,1,2
17.6,8.4,0,0,0,1,1
17.2,0,0,0,0,1,1
15.9,0.6,0,0,0,1,1
14.6,0,0,0,0,1,4
14,0,0,0,0,1,2
13.9,0,0,0,0,1,2
14.5,0,0,0,0,1,1
14.9,0,0,0,0,1,1
14.3,0,0,0,0,1,1
15.2,0,0,0,0,1,1
17.2,0,0,0,0,1,1
16.4,0,0,0,0,1,1
16.2,0,0,0,0,1,1
15.3,0,0,0,0,1,4
15.9,0,0,0,0,1,2
16.1,0,0,0,0,1,3
16.5,0,0,0,0,1,3
18.6,0,0,0,0,1,2
19.2,0,0,0,0,1,1
17.3,0,0,0,0,1,2
20.4,0,0,0,0,1,1
19.2,0,0,0,0,1,1
19.7,0,0,0,0,1,10
16.4,0,0,0,0,1,3
16.5,0,0,0,0,1,3
17.1,0,0,0,0,1,6
18.8,0,0,0,0,1,2
20.3,0,0,0,0,1,1
20.2,0,0,0,0,1,2
16.4,0,0,0,0,1,2
17.8,0,0,0,0,1,2
18,0,0,0,0,1,7
17.5,0.2,0,0,0,1,1
16.9,0,0,0,0,1,4
14.5,0,0,0,0,1,2
